trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2132,False,"{'a': 0.002, 'e': 0.01409408603112812}",25,16,15.493972744960903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2133,False,"{'a': 0.002, 'e': 0.014065926028455206}",20,12,13.511901454881189,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2134,False,"{'a': 0.002, 'e': 0.014037822289505161}",20,12,16.70535959368022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2135,False,"{'a': 0.002, 'e': 0.01400977470186299}",35,11,39.87056180184724,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2136,False,"{'a': 0.002, 'e': 0.013981783153338296}",20,11,16.115417997786587,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2137,False,"{'a': 0.002, 'e': 0.013953847531964868}",20,16,9.074394643697644,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2138,False,"{'a': 0.002, 'e': 0.013925967726000174}",20,6,22.769519859455087,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
2139,False,"{'a': 0.002, 'e': 0.013898143623924953}",25,12,24.82725975777088,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2140,False,"{'a': 0.002, 'e': 0.013870375114442744}",20,16,6.957712149686398,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2141,False,"{'a': 0.002, 'e': 0.013842662086479501}",25,11,25.52253709453661,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2142,False,"{'a': 0.002, 'e': 0.01381500442918306}",25,11,26.66106659853007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2143,False,"{'a': 0.002, 'e': 0.013787402031922757}",25,15,19.988534891136958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2144,False,"{'a': 0.002, 'e': 0.01375985478428895}",20,12,17.053557126031563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2145,False,"{'a': 0.002, 'e': 0.01373236257609264}",20,14,13.082400728576278,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2146,False,"{'a': 0.002, 'e': 0.013704925297364945}",25,8,30.687336919493806,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2147,False,"{'a': 0.002, 'e': 0.013677542838356711}",20,11,15.743960909204715,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2148,False,"{'a': 0.002, 'e': 0.013650215089538058}",20,8,21.545894610384302,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2149,False,"{'a': 0.002, 'e': 0.013622941941597973}",20,10,15.627570773246159,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2150,False,"{'a': 0.002, 'e': 0.013595723285443818}",25,10,25.97217396351682,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2151,False,"{'a': 0.002, 'e': 0.013568559012200934}",20,13,13.477290329516942,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2152,False,"{'a': 0.002, 'e': 0.013541449013212178}",25,8,32.4497698403571,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2153,False,"{'a': 0.002, 'e': 0.013514393180037542}",30,10,38.04027682972578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2154,False,"{'a': 0.002, 'e': 0.013487391404453644}",25,8,31.110624521021904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2155,False,"{'a': 0.002, 'e': 0.013460443578453348}",25,15,21.194792548286078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2156,False,"{'a': 0.002, 'e': 0.013433549594245302}",20,8,20.723511155152405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2157,False,"{'a': 0.002, 'e': 0.013406709344253556}",30,20,16.39247144089853,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2158,False,"{'a': 0.002, 'e': 0.01337992272111706}",20,14,12.40536098644118,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2159,False,"{'a': 0.002, 'e': 0.013353189617689292}",20,14,8.962138878281094,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2160,False,"{'a': 0.002, 'e': 0.013326509927037785}",20,6,29.79215976152877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2161,False,"{'a': 0.002, 'e': 0.013299883542443767}",25,9,28.891867167310497,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2162,False,"{'a': 0.002, 'e': 0.013273310357401653}",25,18,12.456188475939074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2163,False,"{'a': 0.002, 'e': 0.013246790265618666}",20,9,20.29409676752425,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2164,False,"{'a': 0.002, 'e': 0.013220323161014392}",25,7,31.567639718346285,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2165,False,"{'a': 0.002, 'e': 0.0131939089377204}",20,13,13.665167223555585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2166,False,"{'a': 0.002, 'e': 0.013167547490079751}",30,14,27.01383701574687,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
